gvkey,fyear,cik,cusip,ticker,compustat_name,primary_company_name,ceo_full_name,standardized_name,ceo_source
1004,2000,1750,361105,AIR,AAR CORP,AAR CORP,David P. Storch,AARCORP,
1004,2001,1750,361105,AIR,AAR CORP,AAR CORP,David P. Storch,AARCORP,
1004,2002,1750,361105,AIR,AAR CORP,AAR CORP,David P. Storch,AARCORP,
1004,2003,1750,361105,AIR,AAR CORP,AAR CORP,David P. Storch,AARCORP,
1004,2004,1750,361105,AIR,AAR CORP,AAR CORP,David P. Storch,AARCORP,
1004,2005,1750,361105,AIR,AAR CORP,AAR CORP,David P. Storch,AARCORP,
1004,2006,1750,361105,AIR,AAR CORP,AAR CORP,David P. Storch,AARCORP,
1004,2007,1750,361105,AIR,AAR CORP,AAR CORP,David P. Storch,AARCORP,
1004,2008,1750,361105,AIR,AAR CORP,AAR CORP,David P. Storch,AARCORP,
1004,2009,1750,361105,AIR,AAR CORP,AAR CORP,David P. Storch,AARCORP,
1004,2010,1750,361105,AIR,AAR CORP,AAR CORP,David P. Storch,AARCORP,
1004,2011,1750,361105,AIR,AAR CORP,AAR CORP,David P. Storch,AARCORP,
1004,2012,1750,361105,AIR,AAR CORP,AAR CORP,David P. Storch,AARCORP,
1004,2013,1750,361105,AIR,AAR CORP,AAR CORP,David P. Storch,AARCORP,
1004,2014,1750,361105,AIR,AAR CORP,AAR CORP,David P. Storch,AARCORP,
1004,2015,1750,361105,AIR,AAR CORP,AAR CORP,David P. Storch,AARCORP,
1004,2016,1750,361105,AIR,AAR CORP,AAR CORP,David P. Storch,AARCORP,
1004,2017,1750,361105,AIR,AAR CORP,AAR CORP,David P. Storch,AARCORP,
1004,2018,1750,361105,AIR,AAR CORP,AAR CORP,"John McClain Holmes, III",AARCORP,
1004,2019,1750,361105,AIR,AAR CORP,AAR CORP,"John McClain Holmes, III",AARCORP,
1004,2020,1750,361105,AIR,AAR CORP,AAR CORP,"John McClain Holmes, III",AARCORP,
1004,2021,1750,361105,AIR,AAR CORP,AAR CORP,"John McClain Holmes, III",AARCORP,
1004,2022,1750,361105,AIR,AAR CORP,AAR CORP,"John McClain Holmes, III",AARCORP,
1004,2023,1750,361105,AIR,AAR CORP,AAR CORP,"John McClain Holmes, III",AARCORP,
1004,2024,1750,361105,AIR,AAR CORP,AAR CORP,"John McClain Holmes, III",AARCORP,
